,Product,Price,Count,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL OVER
0,Tata Sky HD Set Top Box,DTH Digital India,BOOK ONLINE DTH,DTH Digital India,DTH Digital India,skyenterprises2020202,DTH Digital India,DTH Digital India
0,"[Sponsored]Smart Frog Provence Ultrasonic Aroma Oil Diffuser and Humidifier, Large Capacity 110 ml",INFINITY HOSPITALITY,INFINITY HOSPITALITY,INFINITY HOSPITALITY,INFINITY HOSPITALITY,INFINITY HOSPITALITY,INFINITY HOSPITALITY,INFINITY HOSPITALITY
0,[Sponsored]Envent Saber 630 ET-BTHD630 Over-TheEar Wireless Bluetooth Headphones (Black),Sujav Consultants,Sujav Consultants,Sujav Consultants,Sujav Consultants,Sujav Consultants,Sujav Consultants,Sujav Consultants
0,boAt Rockerz 255 Sports Bluetooth Wireless Earphone with Immersive Stereo Sound and Hands Free Mic (Neon),Meera-Enterprises,Redonez Accessories,Mahaveerelectronics,Redonez Accessories,Redonez Accessories,Redonez Accessories,Redonez Accessories
0,Micromax 109 cm (43 inches) L43Z0666FHD Full HD LED TV (Black),Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India,Cloudtail India
0,Hikvision DS-2CE1AD0T-IRP 2MP 1080P Full HD Night Vision Outdoor Bullet Camera (White),BARCODERS,ZYDUS TECHNOLOGY,ZYDUS TECHNOLOGY,ZYDUS TECHNOLOGY,King Security~,ZYDUS TECHNOLOGY,ZYDUS TECHNOLOGY
0,Bajaj New Shakti GL 25-Litre Vertical Storage Water Heater (White),E-Emporium,Cloudtail India,N K Gupta & Co.,N K Gupta & Co.,Shree Sai Electrices,N K Gupta & Co.,S R BATTERY SERVICE
0,Bajaj HM 01 250-Watt Hand Blender (Black),ShopNJoy,AMAZINGDEALS4EVER,Brand Authorized Seller,Brand Authorized Seller,AMAZINGDEALS4EVER,Brand Authorized Seller,Brand Authorized Seller
0,"Upix DTH Remote Without Recording Feature, Works with Airtel DTH Set Top Box, Compatible with All TV/LCD/LED",Upix Inc.,Upix Inc.,Upix Inc.,Upix Inc.,Upix Inc.,Upix Inc.,Upix Inc.
0,"IFITech 1080p HD Hidden Camera, Plug USB Charger, 128GB SD Card Support(not included), 2 Mode Recording, Nanny cam",IndiaMart Electronics®,IFIHomes,IndiaMart Electronics®,IFIHomes,IFIHomes,IFIHomes,IFIHomes
0,"Voltas 1.5 Ton 5 Star Window AC (Copper,185 DZA, White)",Voltas shoppe,Voltas shoppe,Voltas shoppe,Voltas shoppe,Voltas shoppe,Voltas shoppe,Cloudtail India
0,Mappo MagbotTM WS-858 Wireless Bluetooth Microphone for All Android and iOS Devices {Random Colour},Bonbury,Ergode India,krishnaa sales,krishnaa sales,krishnaa sales,krishnaa sales,krishnaa sales
0,"Voltas 1.5 Ton 4 Star Inverter Split AC (Copper, 184V SZS, White)",Voltas shoppe,Voltas shoppe,Voltas shoppe,Voltas shoppe,Voltas shoppe,Voltas shoppe,Voltas shoppe
0,"Voltas 1 Ton 3 Star Window AC (123 Lyi/123 LZF, White)",Voltas shoppe,Voltas shoppe,Voltas shoppe,Voltas shoppe,Voltas shoppe,Voltas shoppe,Voltas shoppe
0,"Generic Coffee, Milk, Tea, Water, Heater Mini Coil, Very Useful",Malhotra electronics.,Hari_e_commerce,Malhotra electronics.,Malhotra electronics.,Dharmsut®,Malhotra electronics.,Packkart
0,Zoook Rocker Thunder 20 watts Bluetooth Speaker with Karaoke Mic/TF/FM/LED/USB/Party Speaker,ZARPAT INDIA,ZARPAT INDIA,ZARPAT INDIA,ZARPAT INDIA,ZARPAT INDIA,ZARPAT INDIA,PINNACLE ELECTRONICS
0,"[Sponsored]AVS STORE Hand Painted Brass Metal Tibetan Buddhist Singing Bowl Musical Instrument for Meditation with Stick and Cushion, 6 Inch (Plain Golden)",avsstore,avsstore,avsstore,avsstore,avsstore,avsstore,avsstore
0,"Philips BT50B Portable Wireless Bluetooth Speaker, Black",VNSM,VNSM,VNSM,VNSM,VNSM,VNSM,The Discount Deals
0,Usha Maxx Air 400mm Pedestal Fan (White),The Foam Factory,The Foam Factory,The Foam Factory,The Foam Factory,The Foam Factory,The Foam Factory,'JFS'
0,CAM 360 HD Mini DVR Button Pinhole Spy Hidden Video Recorder Camera,SAI ENTERPRISES JAIPUR,AVS RETAIL,SAI ENTERPRISES JAIPUR,SAI ENTERPRISES JAIPUR,ElectronicsArtGalleryEAG®,SAI ENTERPRISES JAIPUR,SAI ENTERPRISES JAIPUR
0,Microsoft Xbox One S 1 TB with Xbox Starter Bundle (3 Months Xbox Game Pass and Xbox Live Gold) (White),it store,it store,it store,it store,it store,it store,JAPTEC
0,BOYA by-MM1 Universal Cardiod Shotgun Microphone Mini Mic for iOS iPhone 8 8 Plus 7 7 Plus 6 6s Mac iPad Tablet Canon Nikon DSLR Camera Camcorder,iphotostore,iphotostore,iphotostore,iphotostore,iphotostore,iphotostore,Gangaur Tex
