,Seller,MultiLink,FeedBack_Rating,Courier_Rating,Product_Rating,Packaging_Rating,ALL_OVER
4821,VINAY  SALES,Indoor Lighting,3.8333333333333335,4.616666666666667,3.9472222222222224,3.890277777777778,3.949805566682409
4822,VINAYAK.,School Bags,2.5,4.053333333333334,3.9333333333333336,3.2166666666666672,3.133602136623859
4823,VIRENDER ENTERPRISES,Printers & Ink,0.6666666666666666,4.044444444444444,4.044444444444444,3.5,2.7366104860417133
4824,"VISHWAKARMA ENTERPRISES,",Football,2.333333333333333,3.9071428571428575,3.5500000000000003,2.9416666666666664,2.8342677895392105
4825,VISHWAKARMAENTERPRISES,Kids' Watches,4.2,4.383333333333334,3.9600000000000004,4.079999999999999,4.029101447405365
4826,VJ SECURE SYSTEMS.,Monitors,0.6666666666666666,3.6999999999999997,3.6999999999999997,3.6999999999999997,2.5740781939591098
4827,VK MARKETING INDIA,Heating & Cooling Appliances,3.0,4.116666666666666,3.416666666666667,3.208333333333333,3.152828452866343
4828,VNSM,Speakers,2.0,3.9119047619047618,3.583333333333333,2.791666666666667,2.7023571908367847
4829,VNV Elite Store,Drives & Storage,0.0,2.9,2.9,2.9,1.5955542612732674
4830,VNV Elite Store,Musical Instruments & Professional Audio,5.0,5.0,3.9333333333333336,4.466666666666667,4.610418530170434
4831,VNV Elite Store,Networking Devices,2.5,3.95,2.9,3.95,3.046727661752528
4832,VNV Elite Store,Security Cameras,3.6666666666666665,4.6000000000000005,3.533333333333333,3.6,3.686746470389345
4833,VOTNOT™,Drives & Storage,3.5555555555555554,4.466666666666668,4.200000000000001,4.466666666666668,4.072284057503817
4834,VOTNOT™,Gaming Accessories,0.0,4.4,4.4,4.4,3.077815629161347
4835,VOTNOT™,Headphones,3.25,4.326666666666666,3.7666666666666666,3.508333333333333,3.499083969934167
4836,VOTNOT™,PC Games,3.2857142857142856,4.571428571428571,4.3999999999999995,4.571428571428571,4.126144540775927
4837,VOTNOT™,Speakers,3.375,4.25,4.0,4.25,3.8118917871448628
4838,VPLONLINE,Heating & Cooling Appliances,2.875,4.336309523809524,3.993452380952381,3.9699404761904757,3.6107546508775283
4839,VPRINT,Heating & Cooling Appliances,2.1666666666666665,3.933333333333333,3.899999999999999,3.933333333333333,3.2183681354433356
4840,VR TAMARAI,Car Accessories,1.6666666666666667,4.133333333333334,4.133333333333334,2.9,2.8814044323870167
4841,VR-ENTERPRISE,Car Electronics,3.3333333333333335,4.066666666666666,3.633333333333333,3.483333333333334,3.377564955572913
4842,VSK Seller,All Computers & Accessories,2.4,4.18,3.6799999999999997,4.18,3.3984227842244694
4843,VSK Seller,Drives & Storage,2.2135416666666665,4.16640625,3.896093749999999,3.9329427083333317,3.3198868452453856
4844,VSM INDIA,Headphones,4.333333333333333,4.433333333333333,3.6,3.966666666666667,3.9489895652229396
4845,VSS Inc,Car Electronics,4.75,4.75,3.75,4.25,4.322267372034781
4846,VTECHCOM,Lab & Scientific,4.0,4.428571428571429,3.0,4.428571428571429,3.8375597056022865
4847,VTECHCOM,Musical Instruments & Professional Audio,3.6991869918699183,4.466382113821139,3.7499186991869933,4.078211382113822,3.8609018832544804
4848,VTM_SLP,Tablets,2.6206896551724137,3.710344827586207,2.7310344827586204,3.451724137931035,2.779076501540203
4849,VVCSALESPUNE,Laptops,2.75,4.1,3.1999999999999997,4.1,3.3070696524120744
4850,VVCSALESPUNE,Tablets,2.6153846153846154,3.800000000000001,2.7230769230769236,3.800000000000001,2.923566757076393
4851,VW Retails - Authorised INTEX Distributor,Fitness Accessories,3.333333333333333,4.338095238095238,3.866666666666667,3.6000000000000005,3.5846612448717283
4852,VW Retails - Authorised INTEX Distributor,International Toy Store,3.666666666666667,4.55,3.95,3.808333333333333,3.8512100576751935
4853,VYBBA,Kitchen Storage & Containers,2.666666666666667,4.078571428571428,3.75,3.208333333333333,3.136698125244414
4854,VYSSPORTS,Backpacks,3.2857142857142856,4.314285714285714,3.8571428571428568,3.5714285714285716,3.5501143449612718
4855,VYSSPORTS,Badminton,2.1999999999999997,4.086666666666667,3.9200000000000004,3.06,3.006937153408875
4856,VYSSPORTS,Rucksacks,3.5,4.292857142857143,3.9499999999999997,3.725,3.6782370022276285
4857,VYSSPORTS,School Bags,2.4,4.323333333333333,4.04,3.22,3.23978541080793
4858,Vaein Enterprise,Kitchen Storage & Containers,4.5,4.825,3.7750000000000004,4.137499999999999,4.250766837229989
4859,Vaibhav_Creation,Kitchen & Dining,3.25,4.493333333333334,4.233333333333333,3.741666666666667,3.768799166962453
4860,Valentino N,Strollers & Prams,0.6666666666666666,4.233333333333333,4.233333333333333,2.45,2.5185915333461733
